PROMODS_PO,STM
ŠENTJERNEJ - KOSTANJEVICA,683
DIVAČA - MATAVUN,684
ŠKOFIJE - R.ŠKOFIJE,686
TEKAČEVO  -  KOTEC,687
AJDOVŠČINA - SELO,688
PRIKLJ. CELJE Z - MEDLOG,689
DOLE - ŠENTJUR,690
PODPEČ - VNANJE GORICE,691
LJ(LITIJSKA) - ZADVOR,692
SOLKAN-NOVA GORICA (KROMBERK),693
LJUBEČNA - BUKOVŽLAK,694
CELJE AC - CELJE,695
KOTEC - ROGATEC,696
RADOVLJICA - PODVIN,697
JUROVSKI DOL - LENART,698
TRI HIŠE - AJŠEVICA,699
PODPEČ - RAKITNA,700
SEČOVLJE - DRAGONJA,702
SOPOTA - PODKUM-ZAGORJE,703
RUŠE - PUŠČAVA,705
MARIBOR - RUŠE,706
GOBOVCE - ČRNIVEC,707
PRIKLJ. NAKLO - PODTABOR,708
BREG - SEVNICA,709
BREG - SEVNICA,709
RUŠE - SELNICA,710
ZREČE - ZEČE,711
SEBEBORCI - TRAKŠAROV BREG,712
BLANCA - BRESTANICA,713
PETROVCI - MARTINJE,714
SEVNICA - BLANCA,715
KR(ISKRA - LABORE),716
KRANJ(KIDRIČEVA  -  ISKRA),717
POLICA - KR(KIDRIČEVA),718
ŠALOVCI - ČEPINCI,719
HODOŠ - DOMANJŠEVCI,720
BERKOVCI - KOBILJE,721
LJ(ŠENTVID  -  OBVOZNICA),725
GRAČIŠČE - BREZOVICA,732
LJUTOMER - DORNAVA,733
ROGLA - ZREČE,734
MANČE - VIPAVA,735
KALCE - PLANINA,736
ČRMOŠNJICE - RUČETNA VAS,737
SP.POHANCA - BREŽICE,738
SP.POHANCA - BREŽICE,738
RIM.TOPLICE - ZIDANI MOST,739
ARCLIN - LJUBEČNA,740
LATKOVA VAS - PREBOLD,741
FARA - PETRINA,742
PETRINA - GRIVAC-MIRTOVIČI,743
KOČEVJE - LIVOLD,744
DRAŠIČI - METLIKA,745
M.SOBOTA(GAJ) - M.SOBOTA,746
LJ(ŠMARTIN.) - PRIKLJ. SNEBERJE,747
ČRNI KAL  -  KORTINE,748
GRGELJ - FARA,749
ŠTALCERJI - FARA,750
HROVAČA - DOLENJA VAS,751
PREVALJE - RAVNE,752
ZAVRČ - DRENOVEC,753
KANAL - PLAVE,754
GONJAČE - DOBROVO,755
MESTINJE - PODPLAT,756
ŠENTJUR - ČRNOLICA,757
CANKOVA - GERLINCI,758
PERTOČA - FIKŠINCI,759
ROGAŠOVCI - KRAMAROVCI,760
GRAD - KUZMA,761
PODLEHNIK - KOZMINCI,762
TRŽEC - VIDEM,763
JURŠINCI - GABERNIK,764
